my_name,matched_name,confidence,cloudinary_url,status
EZ Bar Skull Crusher,Barbell Skullcrusher,70,,NEEDS_REVIEW
Single Arm Cable Pushdown,Cable Single Arm Pushdown,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515558/workout_exercises/single_arm_cable_pushdown.mp4,COMPLETE
Reverse Grip Triceps Pushdown,Cable Bar Reverse Grip Pushdown,85,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515562/workout_exercises/reverse_grip_triceps_pushdown.mp4,COMPLETE
Overhead Triceps Stretch,Triceps Stretch Variation One,75,,NEEDS_REVIEW
Cross Body Arm Stretch,,0,,NO_MATCH
Behind the Head Triceps Stretch,Triceps Stretch Variation One,70,,NEEDS_REVIEW
Wall Triceps Stretch,Triceps Stretch Variation One,65,,NEEDS_REVIEW
Standing Triceps Stretch,Triceps Stretch Variation One,70,,NEEDS_REVIEW
Front Squat,Barbell Front Squat Olympic,85,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515567/workout_exercises/front_squat.mp4,COMPLETE
Sumo Squat,Barbell Sumo Deadlift,60,,NEEDS_REVIEW
Lunges,Forward Lunges,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515570/workout_exercises/lunges.mp4,COMPLETE
Walking Lunges,Walking Lunge,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515575/workout_exercises/walking_lunges.mp4,COMPLETE
Bulgarian Split Squat,Bulgarian Split Squat,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515581/workout_exercises/bulgarian_split_squat.mp4,COMPLETE
Step Up,Step Up,90,,MAP_MISS
Hack Squat,Landmine Hack Squat,75,,NEEDS_REVIEW
Running,,0,,NO_MATCH
Cycling,,0,,NO_MATCH
Jump Squat,Jump Squats,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515586/workout_exercises/jump_squat.mp4,COMPLETE
High Knees,,0,,NO_MATCH
Box Jumps,Box Jump,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515592/workout_exercises/box_jumps.mp4,COMPLETE
Stair Climbing,,0,,NO_MATCH
Leg Extension,Machine Leg Extension,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515598/workout_exercises/leg_extension.mp4,COMPLETE
Seated Leg Curl,Machine Seated Leg Curl,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515607/workout_exercises/seated_leg_curl.mp4,COMPLETE
Standing Leg Curl,Machine Hamstring Curl,70,,NEEDS_REVIEW
Seated Calf Raise,Machine Seated Calf Raises,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515614/workout_exercises/seated_calf_raise.mp4,COMPLETE
Donkey Calf Raise,Bodyweight Donkey Calf Raise,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515619/workout_exercises/donkey_calf_raise.mp4,COMPLETE
Glute Kickback,Kickbacks,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515622/workout_exercises/glute_kickback.mp4,COMPLETE
Cable Hip Abduction,Cable Standing Hip Abduction,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515626/workout_exercises/cable_hip_abduction.mp4,COMPLETE
Cable Hip Adduction,Cable Standing Hip Adduction,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515630/workout_exercises/cable_hip_adduction.mp4,COMPLETE
Standing Quadriceps Stretch,Quads Stretch Variation One,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515635/workout_exercises/standing_quadriceps_stretch.mp4,COMPLETE
Hamstring Stretch,Hamstrings Stretch Variation One,85,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515639/workout_exercises/hamstring_stretch.mp4,COMPLETE
Seated Hamstring Stretch,Hamstring Stretch Seated Single Leg,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515644/workout_exercises/seated_hamstring_stretch.mp4,COMPLETE
Butterfly Stretch,Bodyweight Butterfly Stretch,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515649/workout_exercises/butterfly_stretch.mp4,COMPLETE
Calf Stretch,Calves Stretch Variation One,85,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515653/workout_exercises/calf_stretch.mp4,COMPLETE
Hip Flexor Stretch,Hip Flexor Stretch Kneeling Lunge 1,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515657/workout_exercises/hip_flexor_stretch.mp4,COMPLETE
Pigeon Pose Stretch,Pigeon Pose,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515671/workout_exercises/pigeon_pose_stretch.mp4,COMPLETE
Side Lunge Stretch,Side Lunges,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515684/workout_exercises/side_lunge_stretch.mp4,COMPLETE
Glute Bridge,Glute Bridge,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515688/workout_exercises/glute_bridge.mp4,COMPLETE
Kettlebell Swing,Kettlebell Swing,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515695/workout_exercises/kettlebell_swing.mp4,COMPLETE
Cable Glute Kickback,Cable Standing Straight Leg Glute Kickback,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515711/workout_exercises/cable_glute_kickback.mp4,COMPLETE
Donkey Kicks,Kickbacks,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515715/workout_exercises/donkey_kicks.mp4,COMPLETE
Fire Hydrants,Cable Quadruped Hip Abduction,60,,NEEDS_REVIEW
Hip Abduction Machine,Machine Hip Abduction,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515718/workout_exercises/hip_abduction_machine.mp4,COMPLETE
Cable Hip Extension,Cable Standing Straight Leg Glute Kickback,70,,NEEDS_REVIEW
Glute Kickback Machine,Machine Glute Kickback,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515724/workout_exercises/glute_kickback_machine.mp4,COMPLETE
Frog Pumps,Glute Bridge,65,,NEEDS_REVIEW
Single Leg Glute Bridge,Single Leg Glute Bridge,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515727/workout_exercises/single_leg_glute_bridge.mp4,COMPLETE
Figure Four Stretch,Glutes Stretch Variation One,50,,NEEDS_REVIEW
Seated Glute Stretch,Glutes Stretch Variation One,50,,NEEDS_REVIEW
Standing Glute Stretch,Glutes Stretch Variation One,50,,NEEDS_REVIEW
Lying Piriformis Stretch,Glutes Stretch Variation One,40,,NO_MATCH
Face Pulls,Cable Rope Face Pulls,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515730/workout_exercises/face_pulls.mp4,COMPLETE
Turkish Get-Up,,0,,NO_MATCH
Russian Twists,Kettlebell Russian Twist,85,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515734/workout_exercises/russian_twists.mp4,COMPLETE
Plank Jacks,Bodyweight Plank Jack,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515738/workout_exercises/plank_jacks.mp4,COMPLETE
Bicycle Crunch,Bicycle Crunch,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515744/workout_exercises/bicycle_crunch.mp4,COMPLETE
Crunch,Crunches,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515748/workout_exercises/crunch.mp4,COMPLETE
Sit-Up,Situp,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515753/workout_exercises/sit_up.mp4,COMPLETE
Hanging Leg Raise,Hanging Knee Raises,85,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515758/workout_exercises/hanging_leg_raise.mp4,COMPLETE
Lying Leg Raise,Laying Leg Raises,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515763/workout_exercises/lying_leg_raise.mp4,COMPLETE
Side Plank,Hand Side Plank,75,,NEEDS_REVIEW
Ab Wheel Rollout,Machine Roll Outs,70,,NEEDS_REVIEW
Cable Crunch,Cable Standing Crunch,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515768/workout_exercises/cable_crunch.mp4,COMPLETE
V-Up,,0,,NO_MATCH
Reverse Crunch,Reverse Crunch,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515773/workout_exercises/reverse_crunch.mp4,COMPLETE
Flutter Kicks,,0,,NO_MATCH
Toe Touches,,0,,NO_MATCH
Standing Side Bend Stretch,,0,,NO_MATCH
Seated Spinal Twist,Seated Twist,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515782/workout_exercises/seated_spinal_twist.mp4,COMPLETE
Bridge Stretch,Glute Bridge,70,,NEEDS_REVIEW
Bent Over Row,Barbell Bent Over Row,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515792/workout_exercises/bent_over_row.mp4,COMPLETE
Seated Cable Row,Machine Seated Cable Row,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515796/workout_exercises/seated_cable_row.mp4,COMPLETE
Single Arm Dumbbell Row,Dumbbell Single Arm Row,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515801/workout_exercises/single_arm_dumbbell_row.mp4,COMPLETE
Wide Grip Lat Pulldown,Machine Pulldown,85,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515805/workout_exercises/wide_grip_lat_pulldown.mp4,COMPLETE
Wide Grip Seated Row,Machine Seated Cable Row,70,,NEEDS_REVIEW
Cable Rear Delt Fly,Cable High Single Arm Rear Delt Fly,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515812/workout_exercises/cable_rear_delt_fly.mp4,COMPLETE
Bent Over Lateral Raise,Dumbbell Lateral Raise,65,,NEEDS_REVIEW
Resistance Band Pull Apart,Band Pull Apart,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515816/workout_exercises/resistance_band_pull_apart.mp4,COMPLETE
Barbell Back Squat,Barbell Squat,99,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515820/workout_exercises/barbell_back_squat.mp4,COMPLETE
Snatch,Barbell Snatch,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515825/workout_exercises/snatch.mp4,COMPLETE
Thruster,Barbell Thruster,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515829/workout_exercises/thruster.mp4,COMPLETE
Man Maker,,0,,NO_MATCH
Kettlebell Clean,Kettlebell Clean And Press,60,,NEEDS_REVIEW
Kettlebell Snatch,Kettlebell Single Arm Snatch,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515834/workout_exercises/kettlebell_snatch.mp4,COMPLETE
Landmine Squat to Press,Landmine Thruster,75,,NEEDS_REVIEW
Wall Sit,Wall Sit,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515838/workout_exercises/wall_sit.mp4,COMPLETE
Overhead Squat,Barbell Overhead Squat,75,,MAP_MISS
Cossack Squat,Curtsy Lunge,60,,NEEDS_REVIEW
Inchworm Walk,Inchworm,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515842/workout_exercises/inchworm_walk.mp4,COMPLETE
Spiderman Crawl,,0,,NO_MATCH
Brisk Walk,Treadmill Walk,70,,NEEDS_REVIEW
Windmill,Kettlebell Windmill,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515847/workout_exercises/windmill.mp4,COMPLETE
Jefferson Curl,Barbell Jefferson Deadlift,75,,NEEDS_REVIEW
Lunge with Rotation,Plate Reverse Lunge Twist,65,,NEEDS_REVIEW
Lateral Lunge,Lateral Lunge,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515851/workout_exercises/lateral_lunge.mp4,COMPLETE
Bear Crawl,Bear Crawl,100,,MAP_MISS
Crab Walk,,0,,NO_MATCH
Jogging,Treadmill Jog,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515856/workout_exercises/jogging.mp4,COMPLETE
Sprint,Treadmill Sprint,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515860/workout_exercises/sprint.mp4,COMPLETE
Elliptical Training,Elliptical,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515865/workout_exercises/elliptical_training.mp4,COMPLETE
Swimming,,0,,NO_MATCH
Skater Jump,Cardio Skater,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515871/workout_exercises/skater_jump.mp4,COMPLETE
Agility Ladder Drills,,0,,NO_MATCH
Butt Kicks,Butt Kick,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515876/workout_exercises/butt_kicks.mp4,COMPLETE
Skipping,Jump Rope,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515881/workout_exercises/skipping.mp4,COMPLETE
Carioca Drill,Cardio Karaoke,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515888/workout_exercises/carioca_drill.mp4,COMPLETE
Bounding,,0,,NO_MATCH
Jump Lunges,Bodyweight Alternating Jump Lunge,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515894/workout_exercises/jump_lunges.mp4,COMPLETE
Dynamic Side Shuffle,Cardio Lateral Shuffle,85,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515898/workout_exercises/dynamic_side_shuffle.mp4,COMPLETE
Sledgehammer Slams,Medicine Ball Slam,60,,NEEDS_REVIEW
Sandbag Carry,Kettlebell Farmers Carry,50,,NEEDS_REVIEW
Sled Push,,0,,NO_MATCH
Sled Pull,,0,,NO_MATCH
Sun Salutation,,0,,NO_MATCH
World's Greatest Stretch,,0,,NO_MATCH
Downward Dog,Downward Dog,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515906/workout_exercises/downward_dog.mp4,COMPLETE
Upward Dog,Cobra Pose,70,,NEEDS_REVIEW
Standing Forward Bend,Standing Forward Bend,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515918/workout_exercises/standing_forward_bend.mp4,COMPLETE
Spiderman Stretch,,0,,NO_MATCH
Deep Squat Hold,Bodyweight Squat,50,,NEEDS_REVIEW
Leg Swings,,0,,NO_MATCH
Torso Twists,Kettlebell Russian Twist,50,,NEEDS_REVIEW
Ankle Mobility Rock,,0,,NO_MATCH
Knee Circles,,0,,NO_MATCH
Hip Circles,,0,,NO_MATCH
Seated Forward Fold,Seated Forward Bend,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515927/workout_exercises/seated_forward_fold.mp4,COMPLETE
Lying Spinal Twist,Supine Twist Lying,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515944/workout_exercises/lying_spinal_twist.mp4,COMPLETE
Kneeling Hip Flexor Stretch,Hip Flexor Stretch Kneeling Lunge 1,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515955/workout_exercises/kneeling_hip_flexor_stretch.mp4,COMPLETE
Machine Shoulder Press,Machine Overhand Overhead Press,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515959/workout_exercises/machine_shoulder_press.mp4,COMPLETE
Scapular Wall Slides,,0,,NO_MATCH
Shoulder CARs,,10,,NO_MATCH
Thoracic Spine Rotations,Bodyweight Thoracic Spine Rotation,75,,NEEDS_REVIEW
Scapular Push-Ups,Push Up,60,,NEEDS_REVIEW
Hip CARs,,10,,NO_MATCH
Banded Hip Openers,Band Hip Abduction,70,,NEEDS_REVIEW
Glute Activation Walk,Banded Side Walks,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515964/workout_exercises/glute_activation_walk.mp4,COMPLETE
